domain,records
20xtraining.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
22usa.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
253ageo.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
263efa6a-6ca0-40aa-bf6e-6fbbb7cdcfbf.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
27f930f2-b727-45cf-a69a-44eefdbb6411.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fcloud.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fctf.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fcybermap.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fusa.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fwit.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2fxtraining.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
